이름,경도,위도
태그원,127.4878712,36.63868368
로빈,127.4951416,36.64427672
동부창고카페C,127.4913151,36.65451133
나래상사,127.4377238,36.63516583
투썸플레이스청주메가폴리스점,127.4322641,36.62656195
빽다방청주성안,127.4894974,36.63591055
카페파스쿠찌,127.4945649,36.64502705
카페봄날,127.5035935,36.58723576
이디야커피가경,127.4429823,36.61620462
아퓨저카페,127.4235115,36.71865231
설빙,127.4275732,36.64157369
엔트라포레,127.47918,36.56952093
레스팅플레이스,127.3308745,36.62171413
토굽스커피,127.4785607,36.63567563
와이시그니처카페,127.4571525,36.63445306
매일매일봄날,127.4953373,36.60846502
카페소모스,127.4276486,36.70776101
빽다방청주금천,127.5057344,36.63104873
카페어메이징,127.4917717,36.65771745
이음카페,127.4862006,36.65753306
포레시안,127.5464919,36.65382941
내옆에너,127.3251721,36.62412685
연두커피,127.4719382,36.65348129
더브라이트모닝,127.4945617,36.65327236
온몸문화공간,127.4795398,36.65113504
할리스커피오송점,127.327191,36.62305798
스마일커피,127.4925202,36.61191001
향기나무커피,127.4956659,36.51824164
카페메르시,127.4898891,36.63243959
주,127.487538,36.65145401
해오름달열사흘,127.5202692,36.61942466
카페베네,127.4571275,36.65103392
할리스커피,127.4534974,36.63273686
워키토키,127.4314949,36.62296021
퀼트카페브릭,127.4367577,36.69968094
카페디온,127.4855423,36.63640433
알오,127.3659822,36.69359366
캠토랑커피올레,127.4970283,36.62464229
카페노빌따,127.4714369,36.618934
엉클커피,127.4354083,36.63697658
투썸플레이스산업단지점,127.4356095,36.64490578
커피사진관,127.4574422,36.63428074
햄스커피햄'scoffee,127.4647584,36.63491025
투썸플레이스,127.4587864,36.64977498
미스미스터커피,127.4703533,36.65769582
드로잉카페,127.4678033,36.64660399
세양엔지니어링,127.5107214,36.60569669
에이앤엠푸드,127.4328191,36.62585705
라피니,127.4860729,36.61228793
빈센트마퀴스,127.4452144,36.60780674
행복의나라로,127.4705048,36.65501888
커피둥둥,127.4355525,36.62683833
투데이커피,127.4335144,36.62224999
카페오라,127.4558878,36.64372152
투썸플레이스충북대,127.4597643,36.63367705
스위트빈,127.493525,36.67131717
카페코이,127.4669564,36.61189578
그리다,127.4855444,36.61000121
헬로우커피,127.4691268,36.61404997
커피하우지,127.4527962,36.62372822
유노,127.4629852,36.63381777
캔버스,127.6544031,36.63648856
로티맘,127.4715838,36.61185052
52라쁠라스,127.4297385,36.62475079
인더치,127.4403141,36.63449846
오래된음악,127.4770223,36.65093789
백비헌,127.4672742,36.60898388
에틱다락방,127.4955513,36.63666049
그래동,127.4682877,36.630571
달콤커피청주,127.4963991,36.6712061
카페아띠,127.3282821,36.63515722
어거스트나인,127.4225271,36.63079615
커피줌,127.4750625,36.64685461
또바기,127.5988806,36.72211638
모스아워,127.4870692,36.63739835
각설탕,127.3746054,36.66507325
커피·스토리,127.503143,36.6142266
아치오,127.4326931,36.6093127
하늘정원북카페,127.497164,36.62836339
커피로드,127.427864,36.71431138
다다오,127.4973957,36.5163961
성익,127.4338954,36.6243933
우민카페,127.4890601,36.64456317
레이어커피,127.4933983,36.64094978
주드커피,127.4473131,36.62477623
주성북카페,127.4466344,36.73563493
가배시광,127.5233689,36.70909981
드림펙토리,127.4774534,36.66823776
비에이치,127.4277588,36.71149125
세렌디피티,127.4931342,36.6486465
파스쿠찌,127.5038613,36.60952867
곰아저씨카페,127.4937874,36.65111287
커피모이라,127.5193402,36.62924201
코모스타,127.4875204,36.65221103
토프레소중흥로점,127.5129232,36.61919518
언니의정원,127.4915757,36.67087467
아비앙또,127.4944129,36.64574858
위크커피,127.4261339,36.62591719
베로,127.4952326,36.65848709
메이49-10,127.3554181,36.6081985
큐브,127.4661136,36.59814778
어번브라운,127.4884682,36.63583367
티케,127.5155193,36.6246268
에스뜨레,127.4991337,36.62693137
뿌리깊은카페,127.4906916,36.66552564
이성근커피,127.489863,36.6389098
커피올림#,127.4884288,36.63312143
체리쉬,127.482515,36.67091172
비앤씨,127.4956846,36.62430546
마하나임,127.420579,36.69814421
하루,127.4899629,36.63525982
풀문3,127.4212809,36.61957245
투썸플레이스청주,127.4954799,36.67089453
95번지카페,127.4864448,36.61809871
와일드플로어,127.4489431,36.61667793
카페루앤비,127.4500724,36.73196345
100커피로스팅공장,127.4282953,36.59828067
라라로시,127.4945902,36.66471653
코너피크성화점,127.4476232,36.61652069
어번브라운,127.4690714,36.63443377
아모르데이,127.4566953,36.57398872
도란,127.3560169,36.61687465
빽다방청주,127.4459467,36.62045591
커피먹고사주보고,127.5175298,36.62601483
띠아모3.10,127.4989675,36.61502814
테라스,127.4838154,36.66777955
주와,127.4978298,36.61715055
토프레소오창,127.4290303,36.71472169
카페리포소,127.4989439,36.65818324
로그아웃,127.4393284,36.63223125
새미림다실,127.4896717,36.63872135
가니쉬커피바,127.4546161,36.63284074
메가엠지씨커피,127.4595293,36.63365093
용주레인디어커피,127.4213521,36.616229
카페사운드벙커,127.4852585,36.63571162
백양카페,127.447165,36.63009345
커피트레이더스,127.4948197,36.64465653
메가엠지씨커피충북,127.4277195,36.71248262
15도,127.4468462,36.6290944
협동조합행복카페,127.4902059,36.6506771
장아찌카페,127.4829855,36.60295573
와유카페,127.4945873,36.61179331
메가엠지씨커피,127.5039763,36.63062363
데이드,127.4935133,36.65021289
담소빙스,127.4748536,36.66200337
메가엠지씨커피청주,127.4733124,36.61670077
한지공방카페,127.4884679,36.6180634
카페오늘오송생명점,127.335538,36.64274256
한국케트,127.4237051,36.51086821
70번길카페,127.4985507,36.63189002
그리너리,127.471499,36.66949602
서가랑,127.5516658,36.65010194
앗녕;초콜릿,127.4695203,36.61258859
낮달커피동남지구점,127.5164221,36.61750397
밀썸,127.4106415,36.71067744
버터패티베이커리,127.5028067,36.62097748
이디야커피청주무심천점,127.4995293,36.60507729
테이큰커피청주대,127.4940983,36.65076015
언더니스,127.5142405,36.62396549
꽃차카페고은,127.3105288,36.63021253
홍스구락부,127.4888639,36.63475069
저곡정미소카페,127.5940257,36.70945305
단미청,127.486957,36.60888705
일일일락,127.611074,36.59378905
다올재갤러리,127.4939284,36.64341667
바빈스커피청주상당점,127.5020308,36.61682654
투썸플레이스가경파크점,127.4323992,36.61873062
수다퐁당,127.3748668,36.66362161
크렘드쥬쥬베,127.4908163,36.64464606
리비에라메종청주,127.4862519,36.60518627
핸즈커피청주,127.5102562,36.66400163
하우트커피컴퍼니,127.5421055,36.72204607
사사이곤팩토리,127.4989946,36.66777098
빽다방청주오송점,127.3303085,36.63053781
법인청주농업살림,127.5035935,36.58723576
카페이씀,127.4267597,36.6177597
쥬시후레쉬,127.493762,36.65063538
이디야커피오창과학단지점,127.4277588,36.71149125
꽃차다커피다,127.4975729,36.51790929
할리스명암레이크,127.5110945,36.63852323
에그바른,127.5058854,36.63191317
바리스타진,127.4347292,36.63750172
김칠복커피,127.3267264,36.63216973
초코루나,127.5169223,36.65891758
문의에서,127.497368,36.51554914
로지니스,127.5070376,36.66101463
양지리그곳,127.4426695,36.74120061
그로우빈,127.439834,36.61101674
달달한단지,127.4772878,36.64865698
클로리스청주,127.4278289,36.64333898
콜온미,127.4329121,36.62849703
팅커커피,127.4310626,36.64368778
다락방의불빛,127.4955513,36.63666049
빙봉커피,127.4630896,36.63443915
