이름,경도,위도
소목장,127.7079738,36.68462587
궁시장,127.4638215,36.64662544
대목장,127.5422584,36.73947909
석암제 시조창,127.4614433,36.63220768
칠장,127.4620167,36.68531744
청주 압각수,127.4876837,36.6321035
청주 충렬사,127.3914215,36.62167995
청주 표충사,127.4935123,36.64672279
청주 곽예 묘소,127.5289926,36.65618589
청주 척화비,127.4876837,36.6321035
청주 손병희 생가,127.55766,36.75439345
청주 안정라씨 삼세충효문,127.5790616,36.71275965
청주 신항서원,127.5260373,36.63599586
청주 송상현 묘소 및 신도비,127.3974741,36.6247869
청주 최명길 묘소,127.5199968,36.7439305
청주 영조 태실,127.5824009,36.65228789
청주 박광우 묘소,127.4500451,36.57535392
청주 한란묘소 및 신도비,127.4923293,36.56772596
청주 체화당사 및 사적비,127.483946,36.56336265
청주 방정,127.5006737,36.60753021
청주 무농정,127.5021298,36.60455038
청주 산덕리 태실,127.5125405,36.48658375
청주 신채호사당 및 묘소,127.6203282,36.63601199
청주 가경동 유적,127.435143,36.61763599
청주 부모산성,127.4125367,36.63599094
청주 양성산성,127.4902214,36.5150452
청주 송인수 묘소 및 신도비,127.4777202,36.53908407
청주 현풍곽씨 효자비 및 묘소,127.4884825,36.63467744
청주 양수척 효자비,127.5286611,36.61082495
청주 여산송씨 정려각,127.3905088,36.62025014
청주 이덕수 묘역,127.5309859,36.68268785
청주 석화리 목책성,127.3563649,36.6292959
청주 최석정 묘소,127.5178236,36.74378676
